"num","classifier","noun","sent_num","cl_token_num","noun_token_num","file_name","cl_freq_for_noun","cl_prop_for_noun"
"一","番","评述",2807,10,11,"010801.csv",3,0.231
"一","家","工厂",2810,19,20,"010801.csv",1587,0.539
"第二","家","工厂",2815,17,18,"010801.csv",1587,0.539
"几","家","公司",2816,15,20,"010801.csv",70737,0.854
"一","名","发言人",2818,4,5,"010801.csv",803,0.544
"一","名","发言人",2820,6,7,"010801.csv",803,0.544
"一","份","附件",2837,14,16,"010801.csv",7,0.115
"１０","场","比赛",2851,4,5,"010801.csv",68993,0.883
"２９","场","比赛",2856,6,7,"010801.csv",68993,0.883
"一","所","学校",2868,14,15,"010801.csv",5884,0.713
"７","名","人员",2869,6,8,"010801.csv",20667,0.678
"一","名","人员",2872,37,39,"010801.csv",20667,0.678
"一","所","学校",2872,54,55,"010801.csv",5884,0.713
"一","名","官员",2872,21,24,"010801.csv",3435,0.464
"一","个","通道",2873,10,12,"010801.csv",801,0.281
"一","家","企业",2878,6,9,"010801.csv",34585,0.759
"一","个","协议",2883,9,12,"010801.csv",670,0.179
"２","个","人",2894,31,32,"010801.csv",77696,0.793
"第三","个","人",2894,39,40,"010801.csv",77696,0.793
"两","个","回合",2897,3,4,"010801.csv",1019,0.915
"第二","个","球",2900,2,3,"010801.csv",7350,0.736
"首","个","办公室",2905,10,12,"010801.csv",398,0.423
"一","位","发言人",2907,6,8,"010801.csv",558,0.378
"第一","粒","进球",2916,24,25,"010801.csv",6888,0.379
"一","位","球员",2921,18,21,"010801.csv",3351,0.137
"１２００","个","样本",2924,8,9,"010801.csv",586,0.772
"一","个","水平",2974,4,6,"010801.csv",2181,0.821
"一","个","球员",2974,14,15,"010801.csv",3897,0.16
"一","个","球员",2974,43,44,"010801.csv",3897,0.16
"三","家","公司",2977,20,21,"010801.csv",70737,0.854
"第三","家","公司",2991,20,23,"010801.csv",70737,0.854
"２","条","航线",2992,30,33,"010801.csv",1228,0.951
"两","家","公司",2995,11,13,"010801.csv",70737,0.854
"一","个","模板",3003,21,28,"010801.csv",51,0.836
"一","位","老太",3003,6,11,"010801.csv",69,0.445
"一","个","人",3005,14,16,"010801.csv",77696,0.793
"一","个","配件",3005,21,22,"010801.csv",81,0.675
"两","位","数",3015,21,22,"010801.csv",5416,0.959
"２０００多","家","公司",3016,18,26,"010801.csv",70737,0.854
"两","个","目标",3020,15,17,"010801.csv",3723,0.758
